date,day_type,description,academic_week,is_holiday,is_exam,is_break
2024-05-26,break,Summer Vacation,21,0,0,1
2024-05-27,break,Summer Vacation,22,0,0,1
2024-05-28,break,Summer Vacation,22,0,0,1
2024-05-29,break,Summer Vacation,22,0,0,1
2024-05-30,break,Summer Vacation,22,0,0,1
2024-05-31,break,Summer Vacation,22,0,0,1
2024-06-01,break,Summer Vacation,22,0,0,1
2024-06-02,break,Summer Vacation,22,0,0,1
2024-06-03,break,Summer Vacation,23,0,0,1
2024-06-04,break,Summer Vacation,23,0,0,1
2024-06-05,break,Summer Vacation,23,0,0,1
2024-06-06,break,Summer Vacation,23,0,0,1
2024-06-07,break,Summer Vacation,23,0,0,1
2024-06-08,break,Summer Vacation,23,0,0,1
2024-06-09,break,Summer Vacation,23,0,0,1
2024-06-10,break,Summer Vacation,24,0,0,1
2024-06-11,break,Summer Vacation,24,0,0,1
2024-06-12,break,Summer Vacation,24,0,0,1
2024-06-13,break,Summer Vacation,24,0,0,1
2024-06-14,break,Summer Vacation,24,0,0,1
2024-06-15,break,Summer Vacation,24,0,0,1
2024-06-16,break,Summer Vacation,24,0,0,1
2024-06-17,break,Summer Vacation,25,0,0,1
2024-06-18,break,Summer Vacation,25,0,0,1
2024-06-19,break,Summer Vacation,25,0,0,1
2024-06-20,break,Summer Vacation,25,0,0,1
2024-06-21,break,Summer Vacation,25,0,0,1
2024-06-22,break,Summer Vacation,25,0,0,1
2024-06-23,break,Summer Vacation,25,0,0,1
2024-06-24,break,Summer Vacation,26,0,0,1
2024-06-25,break,Summer Vacation,26,0,0,1
2024-06-26,break,Summer Vacation,26,0,0,1
2024-06-27,break,Summer Vacation,26,0,0,1
2024-06-28,break,Summer Vacation,26,0,0,1
2024-06-29,break,Summer Vacation,26,0,0,1
2024-06-30,break,Summer Vacation,26,0,0,1
2024-07-01,break,Summer Vacation,27,0,0,1
2024-07-02,break,Summer Vacation,27,0,0,1
2024-07-03,break,Summer Vacation,27,0,0,1
2024-07-04,break,Summer Vacation,27,0,0,1
2024-07-05,break,Summer Vacation,27,0,0,1
2024-07-06,break,Summer Vacation,27,0,0,1
2024-07-07,break,Summer Vacation,27,0,0,1
2024-07-08,break,Summer Vacation,28,0,0,1
2024-07-09,break,Summer Vacation,28,0,0,1
2024-07-10,break,Summer Vacation,28,0,0,1
2024-07-11,break,Summer Vacation,28,0,0,1
2024-07-12,break,Summer Vacation,28,0,0,1
2024-07-13,break,Summer Vacation,28,0,0,1
2024-07-14,break,Summer Vacation,28,0,0,1
2024-07-15,break,Summer Vacation,29,0,0,1
2024-07-16,break,Summer Vacation,29,0,0,1
2024-07-17,break,Summer Vacation,29,0,0,1
2024-07-18,break,Summer Vacation,29,0,0,1
2024-07-19,break,Summer Vacation,29,0,0,1
2024-07-20,break,Summer Vacation,29,0,0,1
2024-07-21,break,Summer Vacation,29,0,0,1
2024-07-22,break,Summer Vacation,30,0,0,1
2024-07-23,break,Summer Vacation,30,0,0,1
2024-07-24,break,Summer Vacation,30,0,0,1
2024-07-25,break,Summer Vacation,30,0,0,1
2024-07-26,break,Summer Vacation,30,0,0,1
2024-07-27,break,Summer Vacation,30,0,0,1
2024-07-28,break,Summer Vacation,30,0,0,1
2024-07-29,break,Summer Vacation,31,0,0,1
2024-07-30,break,Summer Vacation,31,0,0,1
2024-07-31,break,Summer Vacation,31,0,0,1
2024-08-01,normal,Regular Day,31,0,0,0
2024-08-02,normal,Regular Day,31,0,0,0
2024-08-03,normal,Regular Day,31,0,0,0
2024-08-04,normal,Regular Day,31,0,0,0
2024-08-05,normal,Regular Day,32,0,0,0
2024-08-06,normal,Regular Day,32,0,0,0
2024-08-07,normal,Regular Day,32,0,0,0
2024-08-08,normal,Regular Day,32,0,0,0
2024-08-09,normal,Regular Day,32,0,0,0
2024-08-10,normal,Regular Day,32,0,0,0
2024-08-11,normal,Regular Day,32,0,0,0
2024-08-12,normal,Regular Day,33,0,0,0
2024-08-13,normal,Regular Day,33,0,0,0
2024-08-14,normal,Regular Day,33,0,0,0
2024-08-15,holiday,Independence Day,33,1,0,0
2024-08-16,normal,Regular Day,33,0,0,0
2024-08-17,normal,Regular Day,33,0,0,0
2024-08-18,normal,Regular Day,33,0,0,0
2024-08-19,normal,Regular Day,34,0,0,0
2024-08-20,normal,Regular Day,34,0,0,0
2024-08-21,normal,Regular Day,34,0,0,0
2024-08-22,normal,Regular Day,34,0,0,0
2024-08-23,normal,Regular Day,34,0,0,0
2024-08-24,normal,Regular Day,34,0,0,0
2024-08-25,normal,Regular Day,34,0,0,0
2024-08-26,normal,Regular Day,35,0,0,0
2024-08-27,normal,Regular Day,35,0,0,0
2024-08-28,normal,Regular Day,35,0,0,0
2024-08-29,normal,Regular Day,35,0,0,0
2024-08-30,normal,Regular Day,35,0,0,0
2024-08-31,normal,Regular Day,35,0,0,0
2024-09-01,normal,Regular Day,35,0,0,0
2024-09-02,normal,Regular Day,36,0,0,0
2024-09-03,normal,Regular Day,36,0,0,0
2024-09-04,normal,Regular Day,36,0,0,0
2024-09-05,normal,Regular Day,36,0,0,0
2024-09-06,normal,Regular Day,36,0,0,0
2024-09-07,normal,Regular Day,36,0,0,0
2024-09-08,normal,Regular Day,36,0,0,0
2024-09-09,normal,Regular Day,37,0,0,0
2024-09-10,normal,Regular Day,37,0,0,0
2024-09-11,normal,Regular Day,37,0,0,0
2024-09-12,normal,Regular Day,37,0,0,0
2024-09-13,normal,Regular Day,37,0,0,0
2024-09-14,normal,Regular Day,37,0,0,0
2024-09-15,normal,Regular Day,37,0,0,0
2024-09-16,normal,Regular Day,38,0,0,0
2024-09-17,normal,Regular Day,38,0,0,0
2024-09-18,normal,Regular Day,38,0,0,0
2024-09-19,normal,Regular Day,38,0,0,0
2024-09-20,normal,Regular Day,38,0,0,0
2024-09-21,normal,Regular Day,38,0,0,0
2024-09-22,normal,Regular Day,38,0,0,0
2024-09-23,normal,Regular Day,39,0,0,0
2024-09-24,normal,Regular Day,39,0,0,0
2024-09-25,normal,Regular Day,39,0,0,0
2024-09-26,normal,Regular Day,39,0,0,0
2024-09-27,normal,Regular Day,39,0,0,0
2024-09-28,normal,Regular Day,39,0,0,0
2024-09-29,normal,Regular Day,39,0,0,0
2024-09-30,normal,Regular Day,40,0,0,0
2024-10-01,normal,Regular Day,40,0,0,0
2024-10-02,normal,Regular Day,40,0,0,0
2024-10-03,normal,Regular Day,40,0,0,0
2024-10-04,normal,Regular Day,40,0,0,0
2024-10-05,normal,Regular Day,40,0,0,0
2024-10-06,normal,Regular Day,40,0,0,0
2024-10-07,normal,Regular Day,41,0,0,0
2024-10-08,normal,Regular Day,41,0,0,0
2024-10-09,normal,Regular Day,41,0,0,0
2024-10-10,normal,Regular Day,41,0,0,0
2024-10-11,normal,Regular Day,41,0,0,0
2024-10-12,normal,Regular Day,41,0,0,0
2024-10-13,normal,Regular Day,41,0,0,0
2024-10-14,normal,Regular Day,42,0,0,0
2024-10-15,normal,Regular Day,42,0,0,0
2024-10-16,normal,Regular Day,42,0,0,0
2024-10-17,normal,Regular Day,42,0,0,0
2024-10-18,normal,Regular Day,42,0,0,0
2024-10-19,normal,Regular Day,42,0,0,0
2024-10-20,normal,Regular Day,42,0,0,0
2024-10-21,normal,Regular Day,43,0,0,0
2024-10-22,normal,Regular Day,43,0,0,0
2024-10-23,normal,Regular Day,43,0,0,0
2024-10-24,normal,Regular Day,43,0,0,0
2024-10-25,normal,Regular Day,43,0,0,0
2024-10-26,normal,Regular Day,43,0,0,0
2024-10-27,normal,Regular Day,43,0,0,0
2024-10-28,normal,Regular Day,44,0,0,0
2024-10-29,normal,Regular Day,44,0,0,0
2024-10-30,normal,Regular Day,44,0,0,0
2024-10-31,normal,Regular Day,44,0,0,0
2024-11-01,normal,Regular Day,44,0,0,0
2024-11-02,normal,Regular Day,44,0,0,0
2024-11-03,normal,Regular Day,44,0,0,0
2024-11-04,normal,Regular Day,45,0,0,0
2024-11-05,normal,Regular Day,45,0,0,0
2024-11-06,normal,Regular Day,45,0,0,0
2024-11-07,normal,Regular Day,45,0,0,0
2024-11-08,normal,Regular Day,45,0,0,0
2024-11-09,normal,Regular Day,45,0,0,0
2024-11-10,normal,Regular Day,45,0,0,0
2024-11-11,normal,Regular Day,46,0,0,0
2024-11-12,normal,Regular Day,46,0,0,0
2024-11-13,normal,Regular Day,46,0,0,0
2024-11-14,normal,Regular Day,46,0,0,0
2024-11-15,exam_period,Fall Exams,46,0,1,0
2024-11-16,exam_period,Fall Exams,46,0,1,0
2024-11-17,exam_period,Fall Exams,46,0,1,0
2024-11-18,exam_period,Fall Exams,47,0,1,0
2024-11-19,exam_period,Fall Exams,47,0,1,0
2024-11-20,exam_period,Fall Exams,47,0,1,0
2024-11-21,exam_period,Fall Exams,47,0,1,0
2024-11-22,exam_period,Fall Exams,47,0,1,0
2024-11-23,exam_period,Fall Exams,47,0,1,0
2024-11-24,exam_period,Fall Exams,47,0,1,0
2024-11-25,exam_period,Fall Exams,48,0,1,0
2024-11-26,exam_period,Fall Exams,48,0,1,0
2024-11-27,exam_period,Fall Exams,48,0,1,0
2024-11-28,exam_period,Fall Exams,48,0,1,0
2024-11-29,exam_period,Fall Exams,48,0,1,0
2024-11-30,exam_period,Fall Exams,48,0,1,0
2024-12-01,exam_period,Fall Exams,48,0,1,0
2024-12-02,exam_period,Fall Exams,49,0,1,0
2024-12-03,exam_period,Fall Exams,49,0,1,0
2024-12-04,exam_period,Fall Exams,49,0,1,0
2024-12-05,exam_period,Fall Exams,49,0,1,0
2024-12-06,break,Winter Vacation,49,0,0,1
2024-12-07,break,Winter Vacation,49,0,0,1
2024-12-08,break,Winter Vacation,49,0,0,1
2024-12-09,break,Winter Vacation,50,0,0,1
2024-12-10,break,Winter Vacation,50,0,0,1
2024-12-11,break,Winter Vacation,50,0,0,1
2024-12-12,break,Winter Vacation,50,0,0,1
2024-12-13,break,Winter Vacation,50,0,0,1
2024-12-14,break,Winter Vacation,50,0,0,1
2024-12-15,break,Winter Vacation,50,0,0,1
2024-12-16,break,Winter Vacation,51,0,0,1
2024-12-17,break,Winter Vacation,51,0,0,1
2024-12-18,break,Winter Vacation,51,0,0,1
2024-12-19,break,Winter Vacation,51,0,0,1
2024-12-20,break,Winter Vacation,51,0,0,1
2024-12-21,break,Winter Vacation,51,0,0,1
2024-12-22,break,Winter Vacation,51,0,0,1
2024-12-23,break,Winter Vacation,52,0,0,1
2024-12-24,break,Winter Vacation,52,0,0,1
2024-12-25,holiday,Christmas,52,1,0,0
2024-12-26,break,Winter Vacation,52,0,0,1
2024-12-27,break,Winter Vacation,52,0,0,1
2024-12-28,break,Winter Vacation,52,0,0,1
2024-12-29,break,Winter Vacation,52,0,0,1
2024-12-30,break,Winter Vacation,53,0,0,1
2024-12-31,break,Winter Vacation,53,0,0,1
